emote,description,names
👂,"dark skin tone, body",ear: dark skin tone
👂,"body, medium-dark skin tone",ear: medium-dark skin tone
👂,"body, medium skin tone",ear: medium skin tone
👂,"body, medium-light skin tone",ear: medium-light skin tone
👂,"body, light skin tone",ear: light skin tone
🏌,"woman, golf, medium skin tone",woman golfing: medium skin tone
🏊,"light skin tone, swim, woman",woman swimming: light skin tone
👨,"farmer, gardener, rancher, man",man farmer
🏄,"woman, surfing",woman surfing
🕵,"sleuth, light skin tone, spy, detective, man",man detective: light skin tone
🤸,"gymnastics, woman, cartwheel, medium skin tone",woman cartwheeling: medium skin tone
👳,"turban, medium-dark skin tone, man",man wearing turban: medium-dark skin tone
💇,"woman, haircut",woman getting haircut
👱,"medium-light skin tone, blond, man",blond-haired man: medium-light skin tone
👩,"farmer, gardener, medium-dark skin tone, woman, rancher",woman farmer: medium-dark skin tone
🖕,"dark skin tone, hand, finger",middle finger: dark skin tone
🖕,"hand, medium-dark skin tone, finger",middle finger: medium-dark skin tone
🖕,"hand, finger, medium skin tone",middle finger: medium skin tone
🖕,"hand, medium-light skin tone, finger",middle finger: medium-light skin tone
🖕,"light skin tone, hand, finger",middle finger: light skin tone
👨,"mathematician, engineer, dark skin tone, physicist, chemist, biologist, scientist, man",man scientist: dark skin tone
🚶,"walk, medium-light skin tone, woman, hike",woman walking: medium-light skin tone
🙅,"hand, forbidden, gesture, woman, prohibited, no",woman gesturing NO
👨,"mathematician, engineer, light skin tone, physicist, chemist, biologist, scientist, man",man scientist: light skin tone
👩,"firetruck, medium-light skin tone, firefighter, woman",woman firefighter: medium-light skin tone
👨,"dark skin tone, electrician, tradesperson, plumber, mechanic, man",man mechanic: dark skin tone
👨,"light skin tone, electrician, tradesperson, plumber, mechanic, man",man mechanic: light skin tone
🇶,flag,Qatar
⛹,"light skin tone, woman, ball",woman bouncing ball: light skin tone
🙋,"dark skin tone, hand, gesture, raised, happy",person raising hand: dark skin tone
🙋,"hand, gesture, raised, medium-dark skin tone, happy",person raising hand: medium-dark skin tone
🙋,"hand, gesture, raised, happy, medium skin tone",person raising hand: medium skin tone
👩,"rocket, medium-light skin tone, woman, astronaut",woman astronaut: medium-light skin tone
🙋,"hand, medium-light skin tone, gesture, raised, happy",person raising hand: medium-light skin tone
🙋,"light skin tone, hand, gesture, raised, happy",person raising hand: light skin tone
🏄,"medium-dark skin tone, surfing, man",man surfing: medium-dark skin tone
👨,"medium-dark skin tone, justice, scales, man",man judge: medium-dark skin tone
👃,"dark skin tone, body",nose: dark skin tone
👃,"body, medium-dark skin tone",nose: medium-dark skin tone
👃,"body, medium skin tone",nose: medium skin tone
👃,"body, medium-light skin tone",nose: medium-light skin tone
👃,"body, light skin tone",nose: light skin tone
🙇,"favor, dark skin tone, apology, gesture, woman, sorry, bowing",woman bowing: dark skin tone
🇷,flag,Rwanda
🇷,flag,Russia
🤘,"dark skin tone, hand, horns, finger, rock-on",sign of the horns: dark skin tone
🚶,"walk, hike, man",man walking
🤘,"hand, medium-dark skin tone, horns, finger, rock-on",sign of the horns: medium-dark skin tone
🤘,"hand, horns, finger, rock-on, medium skin tone",sign of the horns: medium skin tone
🤘,"hand, medium-light skin tone, horns, finger, rock-on",sign of the horns: medium-light skin tone
🇷,flag,Serbia
🤘,"light skin tone, hand, horns, finger, rock-on",sign of the horns: light skin tone
🖖,"spock, dark skin tone, hand, vulcan, finger",vulcan salute: dark skin tone
🖖,"spock, hand, vulcan, medium-dark skin tone, finger",vulcan salute: medium-dark skin tone
🖖,"spock, hand, vulcan, finger, medium skin tone",vulcan salute: medium skin tone
🖖,"spock, hand, vulcan, medium-light skin tone, finger",vulcan salute: medium-light skin tone
🇷,flag,Romania
🖖,"spock, light skin tone, hand, vulcan, finger",vulcan salute: light skin tone
💆,"woman, face, medium skin tone, massage",woman getting massage: medium skin tone
🤦,"exasperation, disbelief, medium-dark skin tone, facepalm, man",man facepalming: medium-dark skin tone
🇷,flag,Réunion
🙎,"pouting, gesture, medium-dark skin tone, man",man pouting: medium-dark skin tone
👷,"light skin tone, worker, man, construction",man construction worker: light skin tone
🤷,"indifference, shrug, ignorance, man, doubt",man shrugging
🙌,"dark skin tone, hooray, hand, gesture, raised, celebration",raising hands: dark skin tone
🙌,"hooray, hand, gesture, raised, medium-dark skin tone, celebration",raising hands: medium-dark skin tone
🙌,"hooray, hand, gesture, raised, celebration, medium skin tone",raising hands: medium skin tone
🙌,"hooray, hand, medium-light skin tone, gesture, raised, celebration",raising hands: medium-light skin tone
🙌,"hooray, light skin tone, hand, gesture, raised, celebration",raising hands: light skin tone
🤼,"wrestle, women",women wrestling
👨,"love, couple, man","couple with heart: man, man"
🃏,"wildcard, game, card",joker
🏌,"golf, medium skin tone, man",man golfing: medium skin tone
7,keycap,keycap: 7
🏊,"light skin tone, swim, man",man swimming: light skin tone
3,keycap,keycap: 3
⤵,"arrow, down",right arrow curving down
⤴,arrow,right arrow curving up
🤸,"gymnastics, cartwheel, medium skin tone, man",man cartwheeling: medium skin tone
💇,"man, haircut",man getting haircut
🇸,flag,Swaziland
🇸,flag,Syria
🇸,flag,Sint Maarten
🙍,"frowning, medium-light skin tone, gesture, woman",woman frowning: medium-light skin tone
🇸,flag,El Salvador
👮,"dark skin tone, officer, woman, police, cop",woman police officer: dark skin tone
🤙,"dark skin tone, hand, call",call me hand: dark skin tone
🤙,"hand, medium-dark skin tone, call",call me hand: medium-dark skin tone
🤙,"hand, call, medium skin tone",call me hand: medium skin tone
🇸,flag,São Tomé & Príncipe
🤙,"hand, medium-light skin tone, call",call me hand: medium-light skin tone
🇸,flag,South Sudan
🤙,"light skin tone, hand, call",call me hand: light skin tone
🇸,flag,Suriname
🇸,flag,Somalia
👩,"doctor, nurse, medium-dark skin tone, healthcare, woman, therapist",woman health worker: medium-dark skin tone
🇸,flag,Senegal
🇸,flag,San Marino
🇸,flag,Sierra Leone
🇸,flag,Slovakia
🚶,"walk, medium-light skin tone, hike, man",man walking: medium-light skin tone
🙅,"hand, forbidden, gesture, prohibited, no, man",man gesturing NO
🚣,"rowboat, light skin tone, woman, boat",woman rowing boat: light skin tone
🇸,flag,Svalbard & Jan Mayen
🇸,flag,Slovenia
🇸,flag,St. Helena
🇸,flag,Singapore
🇸,flag,Sweden
🏋,"light skin tone, weight lifter, woman",woman lifting weights: light skin tone
🇸,flag,Sudan
🇸,flag,Seychelles
🇸,flag,Solomon Islands
🇸,flag,Saudi Arabia
⛹,"light skin tone, ball, man",man bouncing ball: light skin tone
🙍,"dark skin tone, gesture, frown",person frowning: dark skin tone
🙍,"gesture, medium-dark skin tone, frown",person frowning: medium-dark skin tone
🙍,"gesture, frown, medium skin tone",person frowning: medium skin tone
💁,"sassy, medium-dark skin tone, woman, tipping hand",woman tipping hand: medium-dark skin tone
🤹,"multitask, juggling, woman, medium skin tone",woman juggling: medium skin tone
🙍,"medium-light skin tone, gesture, frown",person frowning: medium-light skin tone
🙍,"light skin tone, gesture, frown",person frowning: light skin tone
🤷,"light skin tone, woman, indifference, shrug, ignorance, doubt",woman shrugging: light skin tone
👩,"mathematician, engineer, woman, physicist, chemist, biologist, scientist, medium skin tone",woman scientist: medium skin tone
👩,"electrician, tradesperson, plumber, woman, mechanic, medium skin tone",woman mechanic: medium skin tone
🙇,"favor, dark skin tone, apology, gesture, sorry, bowing, man",man bowing: dark skin tone
🇹,flag,Tanzania
🇹,flag,Taiwan
🇹,flag,Tuvalu
🇹,flag,Trinidad & Tobago
🇹,flag,Turkey
👩,"judge, medium-dark skin tone, woman, scales",woman judge: medium-dark skin tone
🇹,flag,Tonga
🇹,flag,Tunisia
🇹,flag,Turkmenistan
🇹,flag,Timor-Leste
🇹,flag,Tokelau
👳,"turban, medium-light skin tone, woman",woman wearing turban: medium-light skin tone
🇹,flag,Tajikistan
🇹,flag,Thailand
🇹,flag,Togo
🇹,flag,French Southern Territories
®,registered,registered
🇹,flag,Chad
🇹,flag,Turks & Caicos Islands
🇹,flag,Tristan da Cunha
©,copyright,copyright
🙎,"dark skin tone, pouting, gesture",person pouting: dark skin tone
🙎,"pouting, gesture, medium-dark skin tone",person pouting: medium-dark skin tone
🙎,"pouting, gesture, medium skin tone",person pouting: medium skin tone
🙎,"pouting, medium-light skin tone, gesture",person pouting: medium-light skin tone
🙎,"light skin tone, pouting, gesture",person pouting: light skin tone
👨,"dark skin tone, manager, business, office, architect, white-collar, man",man office worker: dark skin tone
👨,"dark skin tone, coder, developer, software, technologist, inventor, man",man technologist: dark skin tone
👨,"light skin tone, manager, business, office, architect, white-collar, man",man office worker: light skin tone
🤼,"wrestle, men",men wrestling
👨,"light skin tone, coder, developer, software, technologist, inventor, man",man technologist: light skin tone
👆,"up, point, dark skin tone, hand, backhand, index, finger",backhand index pointing up: dark skin tone
👆,"up, point, hand, backhand, index, medium-dark skin tone, finger",backhand index pointing up: medium-dark skin tone
👆,"up, point, hand, backhand, index, finger, medium skin tone",backhand index pointing up: medium skin tone
👆,"up, point, hand, backhand, index, medium-light skin tone, finger",backhand index pointing up: medium-light skin tone
👆,"up, point, light skin tone, hand, backhand, index, finger",backhand index pointing up: light skin tone
🛶,"canoe, boat",canoe
🛵,"scooter, motor",motor scooter
🛴,"scooter, kick",kick scooter
🛳,"passenger, ship",passenger ship
🏄,"medium-light skin tone, woman, surfing",woman surfing: medium-light skin tone
🛰,space,satellite
👨,"industrial, factory, assembly, medium-light skin tone, worker, man",man factory worker: medium-light skin tone
👨,"instructor, professor, medium-light skin tone, teacher, man",man teacher: medium-light skin tone
🛬,"landing, arriving, airplane, arrivals, aeroplane",airplane arrival
🛫,"airplane, check-in, departures, departure, aeroplane",airplane departure
🚴,"dark skin tone, bicycle, cyclist, woman, biking",woman biking: dark skin tone
🛩,"airplane, aeroplane",small airplane
🛥,"motorboat, boat",motor boat
🛤,"railway, train",railway track
🛣,"road, highway",motorway
🛢,"drum, oil",oil drum
🛡,weapon,shield
👨,"plane, medium-dark skin tone, pilot, man",man pilot: medium-dark skin tone
🛠,"hammer, tool, wrench, spanner",hammer and wrench
🙍,"frowning, medium-light skin tone, gesture, man",man frowning: medium-light skin tone
👮,"dark skin tone, officer, police, man, cop",man police officer: dark skin tone
🚣,"rowboat, light skin tone, man, boat",man rowing boat: light skin tone
🛒,"trolley, shopping, cart",shopping cart
🛑,"sign, stop, octagonal",stop sign
🛐,"worship, religion",place of worship
🛏,"sleep, hotel",bed
🏋,"light skin tone, weight lifter, man",man lifting weights: light skin tone
🛎,"bell, bellhop, hotel",bellhop bell
🛍,"bag, shopping, hotel",shopping bags
🛌,"sleep, hotel",person in bed
🚴,"bicycle, cyclist, woman, biking",woman biking
🛋,"couch, hotel, lamp",couch and lamp
🛅,"luggage, baggage, locker",left luggage
🛄,"claim, baggage",baggage claim
🙏,"please, hand, ask, bow, pray, folded, dark skin tone, gesture, thanks",folded hands: dark skin tone
🛃,customs,customs
🙏,"please, hand, ask, bow, pray, medium-dark skin tone, folded, gesture, thanks",folded hands: medium-dark skin tone
🛂,"passport, control",passport control
🙏,"please, hand, ask, bow, pray, folded, medium skin tone, gesture, thanks",folded hands: medium skin tone
💁,"sassy, medium-dark skin tone, tipping hand, man",man tipping hand: medium-dark skin tone
🛁,bath,bathtub
🙏,"please, hand, ask, medium-light skin tone, bow, pray, folded, gesture, thanks",folded hands: medium-light skin tone
🛀,"bathtub, bath",person taking bath
🤹,"multitask, juggling, medium skin tone, man",man juggling: medium skin tone
🙏,"please, hand, ask, light skin tone, bow, pray, folded, gesture, thanks",folded hands: light skin tone
🤦,"medium-light skin tone, exasperation, disbelief, woman, facepalm",woman facepalming: medium-light skin tone
🚿,water,shower
🚾,"water, lavatory, wc, restroom, closet",water closet
🚽,toilet,toilet
🤷,"light skin tone, indifference, shrug, ignorance, man, doubt",man shrugging: light skin tone
🚼,"baby, changing",baby symbol
🚻,"lavatory, wc, restroom",restroom
🚺,"lavatory, woman, wc, restroom",women’s room
👇,"point, dark skin tone, hand, backhand, index, finger, down",backhand index pointing down: dark skin tone
👇,"point, hand, backhand, index, medium-dark skin tone, finger, down",backhand index pointing down: medium-dark skin tone
👇,"point, hand, backhand, index, finger, medium skin tone, down",backhand index pointing down: medium skin tone
👇,"point, hand, backhand, index, medium-light skin tone, finger, down",backhand index pointing down: medium-light skin tone
🙎,"pouting, medium-light skin tone, gesture, woman",woman pouting: medium-light skin tone
👇,"point, light skin tone, hand, backhand, index, finger, down",backhand index pointing down: light skin tone
🚹,"lavatory, wc, restroom, man",men’s room
🚸,"traffic, crossing, pedestrian, child",children crossing
🚷,"forbidden, not, prohibited, no, pedestrian",no pedestrians
🚶,"walking, walk, hike",person walking
🚵,"bicycle, cyclist, bike, mountain, bicyclist",person mountain biking
🚴,"bicycle, cyclist, biking",person biking
🚳,"bicycle, forbidden, bike, not, prohibited, no",no bicycles
🚲,bike,bicycle
🚱,"water, non-potable, non-drinking",non-potable water
🚰,"water, potable, drinking",potable water
👨,"family, girl, man","family: man, man, girl, girl"
👨,"family, boy, girl, man","family: man, man, girl, boy"
🚯,"forbidden, not, prohibited, litter, no",no littering
🚮,"litter bin, litter",litter in bin sign
🚭,"forbidden, not, smoking, prohibited, no",no smoking
🚬,smoking,cigarette
👨,"artist, palette, medium-light skin tone, man",man artist: medium-light skin tone
🚫,"forbidden, not, entry, no",prohibited
🚪,door,door
👨,"doctor, nurse, medium-light skin tone, healthcare, therapist, man",man health worker: medium-light skin tone
👨,"entertainer, medium-light skin tone, singer, actor, star, rock, man",man singer: medium-light skin tone
🚩,post,triangular flag
🚨,"revolving, beacon, light, car, police",police car light
👮,"officer, woman, police, cop",woman police officer
🚧,barrier,construction
🚦,"light, traffic, signal",vertical traffic light
🚥,"light, traffic, signal",horizontal traffic light
🚤,boat,speedboat
🚣,"rowboat, boat",person rowing boat
🚢,"passenger, boat",ship
🚡,"tramway, car, cable, gondola, aerial",aerial tramway
🏌,"light skin tone, woman, golf",woman golfing: light skin tone
🚠,"cable, mountain, gondola",mountain cableway
🛌,"dark skin tone, sleep, hotel",person in bed: dark skin tone
🛌,"medium-dark skin tone, sleep, hotel",person in bed: medium-dark skin tone
🛌,"sleep, hotel, medium skin tone",person in bed: medium skin tone
🛌,"medium-light skin tone, sleep, hotel",person in bed: medium-light skin tone
🛌,"light skin tone, sleep, hotel",person in bed: light skin tone
💂,"medium-dark skin tone, woman, guard",woman guard: medium-dark skin tone
🏳,rainbow,rainbow flag
🤸,"light skin tone, gymnastics, woman, cartwheel",woman cartwheeling: light skin tone
👳,"turban, medium-light skin tone, man",man wearing turban: medium-light skin tone
👩,"family, woman, girl","family: woman, woman, girl, girl"
👩,"family, boy, woman, girl","family: woman, woman, girl, boy"
🙆,"hand, ok, gesture, medium skin tone, man",man gesturing OK: medium skin tone
👈,"point, dark skin tone, hand, backhand, index, finger",backhand index pointing left: dark skin tone
👨,"family, girl, man","family: man, man, girl"
👈,"point, hand, backhand, index, medium-dark skin tone, finger",backhand index pointing left: medium-dark skin tone
👨,"family, boy, man","family: man, man, boy"
👈,"point, hand, backhand, index, finger, medium skin tone",backhand index pointing left: medium skin tone
👈,"point, hand, backhand, index, medium-light skin tone, finger",backhand index pointing left: medium-light skin tone
👈,"point, light skin tone, hand, backhand, index, finger",backhand index pointing left: light skin tone
👨,"medium-light skin tone, justice, scales, man",man judge: medium-light skin tone
🙋,"dark skin tone, gesture, woman, raising hand",woman raising hand: dark skin tone
🏄,"medium-light skin tone, surfing, man",man surfing: medium-light skin tone
🚴,"dark skin tone, bicycle, cyclist, biking, man",man biking: dark skin tone
👩,"manager, business, office, woman, architect, white-collar, medium skin tone",woman office worker: medium skin tone
🀄,"game, mahjong, red",mahjong red dragon
👩,"coder, developer, software, woman, technologist, inventor, medium skin tone",woman technologist: medium skin tone
🙇,"favor, apology, gesture, woman, sorry, bowing, medium skin tone",woman bowing: medium skin tone
👩,"firetruck, light skin tone, firefighter, woman",woman firefighter: light skin tone
🚴,"bicycle, cyclist, biking, man",man biking
👩,"rocket, light skin tone, woman, astronaut",woman astronaut: light skin tone
💆,"light skin tone, woman, face, massage",woman getting massage: light skin tone
🤦,"medium-light skin tone, exasperation, disbelief, facepalm, man",man facepalming: medium-light skin tone
🤦,"dark skin tone, exasperation, disbelief, face, palm",person facepalming: dark skin tone
🤦,"exasperation, disbelief, medium-dark skin tone, face, palm",person facepalming: medium-dark skin tone
🤦,"exasperation, disbelief, face, palm, medium skin tone",person facepalming: medium skin tone
🚟,"suspension, railway",suspension railway
🤦,"medium-light skin tone, exasperation, disbelief, face, palm",person facepalming: medium-light skin tone
🚞,"car, mountain, railway",mountain railway
🚵,"dark skin tone, bicycle, cyclist, bike, mountain, woman, biking",woman mountain biking: dark skin tone
🤦,"light skin tone, exasperation, disbelief, face, palm",person facepalming: light skin tone
🚝,vehicle,monorail
🚜,vehicle,tractor
🚛,"semi, truck, lorry",articulated lorry
🚚,"truck, delivery",delivery truck
👨,"medium-light skin tone, graduate, student, man",man student: medium-light skin tone
👉,"point, dark skin tone, hand, backhand, index, finger",backhand index pointing right: dark skin tone
👉,"point, hand, backhand, index, medium-dark skin tone, finger",backhand index pointing right: medium-dark skin tone
👩,"plane, medium-dark skin tone, woman, pilot",woman pilot: medium-dark skin tone
👉,"point, hand, backhand, index, finger, medium skin tone",backhand index pointing right: medium skin tone
🙎,"pouting, medium-light skin tone, gesture, man",man pouting: medium-light skin tone
🚙,"sport utility, recreational",sport utility vehicle
👉,"point, hand, backhand, index, medium-light skin tone, finger",backhand index pointing right: medium-light skin tone
🚘,"car, oncoming, automobile",oncoming automobile
👉,"point, light skin tone, hand, backhand, index, finger",backhand index pointing right: light skin tone
🚗,car,automobile
🚖,"taxi, oncoming",oncoming taxi
🚕,vehicle,taxi
🚔,"car, police, oncoming",oncoming police car
🚓,"patrol, car, police",police car
🚒,"fire, engine, truck",fire engine
🚑,vehicle,ambulance
🚐,bus,minibus
🚏,"bus, stop, busstop",bus stop
🚎,"bus, tram, trolley",trolleybus
🚍,"bus, oncoming",oncoming bus
🚌,vehicle,bus
🚋,"trolleybus, car, tram",tram car
🚊,trolleybus,tram
🕵,"sleuth, spy, medium-dark skin tone, woman, detective",woman detective: medium-dark skin tone
🚉,"railway, train",station
🚈,railway,light rail
🚇,subway,metro
👮,"officer, police, man, cop",man police officer
🚆,railway,train
🚅,"bullet, speed, shinkansen, railway, train",high-speed train with bullet nose
🚄,"speed, shinkansen, railway, train",high-speed train
🚃,"trolleybus, electric, car, tram, railway, train",railway car
🚂,"steam, engine, railway, train",locomotive
🚁,vehicle,helicopter
🏌,"light skin tone, golf, man",man golfing: light skin tone
🚀,space,rocket
👱,"dark skin tone, woman, blonde",blond-haired woman: dark skin tone
👨,"cook, chef, medium-light skin tone, man",man cook: medium-light skin tone
💂,"medium-dark skin tone, guard, man",man guard: medium-dark skin tone
🤸,"light skin tone, gymnastics, cartwheel, man",man cartwheeling: light skin tone
👮,"officer, woman, police, medium skin tone, cop",woman police officer: medium skin tone
👨,"family, woman, girl, man","family: man, woman, girl, girl"
👨,"family, boy, woman, girl, man","family: man, woman, girl, boy"
🕺,"dark skin tone, dance, man",man dancing: dark skin tone
👩,"doctor, nurse, medium-light skin tone, healthcare, woman, therapist",woman health worker: medium-light skin tone
🕺,"medium-dark skin tone, dance, man",man dancing: medium-dark skin tone
🕺,"dance, medium skin tone, man",man dancing: medium skin tone
🕺,"medium-light skin tone, dance, man",man dancing: medium-light skin tone
🕺,"light skin tone, dance, man",man dancing: light skin tone
🙏,"hand, gesture, pray, bow, please, thanks, folded, ask",folded hands
2,keycap,keycap: 2
🙎,"pouting, gesture",person pouting
🙍,"gesture, frown",person frowning
🙌,"hooray, hand, gesture, raised, celebration",raising hands
🙋,"hand, gesture, raised, happy",person raising hand
🙊,"evil, not, speak, face, forbidden, gesture, no, prohibited, monkey",speak-no-evil monkey
🙉,"evil, hear, not, face, forbidden, gesture, prohibited, no, monkey",hear-no-evil monkey
💁,"sassy, medium-light skin tone, woman, tipping hand",woman tipping hand: medium-light skin tone
🙈,"evil, not, see, face, forbidden, gesture, no, prohibited, monkey",see-no-evil monkey
🤹,"multitask, light skin tone, juggling, woman",woman juggling: light skin tone
🙇,"apology, gesture, sorry, bow",person bowing
🙆,"hand, ok, gesture",person gesturing OK
🙅,"hand, forbidden, gesture, not, prohibited, no",person gesturing NO
🚣,"dark skin tone, rowboat, boat",person rowing boat: dark skin tone
🙄,"rolling, eyes, face",face with rolling eyes
🚣,"rowboat, medium-dark skin tone, boat",person rowing boat: medium-dark skin tone
🙃,"upside-down, face",upside-down face
🚣,"rowboat, medium skin tone, boat",person rowing boat: medium skin tone
🙂,"smile, face",slightly smiling face
🚣,"rowboat, medium-light skin tone, boat",person rowing boat: medium-light skin tone
🙁,"face, frown",slightly frowning face
🚣,"rowboat, light skin tone, boat",person rowing boat: light skin tone
🙀,"surprised, cat, oh, face, weary",weary cat face
👨,"farmer, gardener, medium-light skin tone, rancher, man",man farmer: medium-light skin tone
🙋,"dark skin tone, gesture, raising hand, man",man raising hand: dark skin tone
🎅,"dark skin tone, claus, father, santa, celebration, christmas",Santa Claus: dark skin tone
🎅,"claus, father, santa, medium-dark skin tone, celebration, christmas",Santa Claus: medium-dark skin tone
🎅,"claus, father, santa, celebration, christmas, medium skin tone",Santa Claus: medium skin tone
🎅,"claus, father, medium-light skin tone, santa, celebration, christmas",Santa Claus: medium-light skin tone
🎅,"claus, light skin tone, father, santa, celebration, christmas",Santa Claus: light skin tone
😿,"cat, sad, face, cry, tear",crying cat face
😾,"cat, pouting, face",pouting cat face
😽,"kiss, eye, cat, face",kissing cat face with closed eyes
😼,"cat, smile, wry, ironic, face",cat face with wry smile
😻,"eye, cat, smile, love, face",smiling cat face with heart-eyes
😺,"cat, smile, mouth, open, face",smiling cat face with open mouth
👨,"firetruck, medium-dark skin tone, firefighter, man",man firefighter: medium-dark skin tone
😹,"cat, joy, face, tear",cat face with tears of joy
😸,"eye, cat, smile, grin, face",grinning cat face with smiling eyes
😷,"medicine, mask, cold, doctor, sick, face",face with medical mask
😶,"silent, mouth, quiet, face",face without mouth
😵,"face, dizzy",dizzy face
😴,"zzz, sleep, face",sleeping face
😳,"flushed, face, dazed",flushed face
😲,"totally, shocked, astonished, face",astonished face
😱,"scared, munch, fearful, scream, fear, face",face screaming in fear
😰,"blue, cold, mouth, open, sweat, rushed, face",face with open mouth & cold sweat
😯,"surprised, stunned, hushed, face",hushed face
😮,"mouth, open, sympathy, face",face with open mouth
😭,"sob, sad, face, cry, tear",loudly crying face
😬,"grimace, face",grimacing face
😫,"tired, face",tired face
😪,"sleep, face",sleepy face
🙇,"favor, apology, gesture, sorry, bowing, medium skin tone, man",man bowing: medium skin tone
👨,"rocket, medium-dark skin tone, astronaut, man",man astronaut: medium-dark skin tone
😩,"tired, face, weary",weary face
😨,"scared, fearful, fear, face",fearful face
😧,"anguished, face",anguished face
😦,"mouth, open, face, frown",frowning face with open mouth
😥,"disappointed, whew, relieved, face",disappointed but relieved face
😤,"triumph, face, won",face with steam from nose
😣,"persevere, face",persevering face
😢,"sad, face, cry, tear",crying face
😡,"rage, angry, pouting, face, red, mad",pouting face
😠,"angry, face, mad",angry face
😟,"face, worried",worried face
😞,"disappointed, face",disappointed face
😝,"horrible, eye, face, tongue, taste",face with stuck-out tongue & closed eyes
😜,"eye, wink, face, tongue, joke",face with stuck-out tongue & winking eye
😛,"face, tongue",face with stuck-out tongue
😚,"kiss, eye, closed, face",kissing face with closed eyes
😙,"kiss, eye, smile, face",kissing face with smiling eyes
👩,"judge, medium-light skin tone, woman, scales",woman judge: medium-light skin tone
😘,"kiss, face",face blowing a kiss
😗,"kiss, face",kissing face
😖,"face, confounded",confounded face
😕,"confused, face",confused face
😔,"dejected, pensive, face",pensive face
😓,"cold, sweat, face",face with cold sweat
😒,"unhappy, unamused, face",unamused face
😑,"unexpressive, expressionless, inexpressive, face",expressionless face
😐,"deadpan, neutral, face",neutral face
😏,"face, smirk",smirking face
😎,"eyewear, smile, eye, sun, glasses, sunglasses, face, bright, cool",smiling face with sunglasses
👩,"mathematician, engineer, medium-light skin tone, woman, physicist, chemist, biologist, scientist",woman scientist: medium-light skin tone
😍,"eye, smile, love, face",smiling face with heart-eyes
😌,"relieved, face",relieved face
😋,"savouring, smile, yum, um, delicious, face",face savouring delicious food
😊,"eye, smile, face, blush",smiling face with smiling eyes
😉,"wink, face",winking face
👩,"electrician, tradesperson, medium-light skin tone, plumber, woman, mechanic",woman mechanic: medium-light skin tone
😈,"smile, fairy tale, horns, fantasy, face",smiling face with horns
😇,"innocent, smile, fairy tale, fantasy, face, halo, angel",smiling face with halo
😆,"laugh, smile, mouth, open, face, satisfied",smiling face with open mouth & closed eyes
😅,"cold, smile, open, sweat, face",smiling face with open mouth & cold sweat
😄,"eye, smile, mouth, open, face",smiling face with open mouth & smiling eyes
😃,"smile, mouth, open, face",smiling face with open mouth
😂,"laugh, joy, face, tear",face with tears of joy
😁,"eye, smile, grin, face",grinning face with smiling eyes
😀,"grin, face",grinning face
🏊,"swim, medium-dark skin tone, woman",woman swimming: medium-dark skin tone
💇,"dark skin tone, woman, haircut",woman getting haircut: dark skin tone
🕵,"sleuth, spy, medium-dark skin tone, detective, man",man detective: medium-dark skin tone
👱,"dark skin tone, blond, man",blond-haired man: dark skin tone
🚴,"bicycle, cyclist, woman, biking, medium skin tone",woman biking: medium skin tone
👨,"plane, medium-light skin tone, pilot, man",man pilot: medium-light skin tone
👮,"officer, police, medium skin tone, man, cop",man police officer: medium skin tone
#,keycap,keycap: #
↪,arrow,left arrow curving right
👨,"industrial, dark skin tone, factory, assembly, worker, man",man factory worker: dark skin tone
👨,"instructor, dark skin tone, professor, teacher, man",man teacher: dark skin tone
👨,"industrial, light skin tone, factory, assembly, worker, man",man factory worker: light skin tone
↩,arrow,right arrow curving left
💁,"sassy, medium-light skin tone, tipping hand, man",man tipping hand: medium-light skin tone
👨,"instructor, professor, light skin tone, teacher, man",man teacher: light skin tone
👰,"dark skin tone, bride, wedding, veil",bride with veil: dark skin tone
👰,"bride, wedding, veil, medium-dark skin tone",bride with veil: medium-dark skin tone
👰,"bride, wedding, veil, medium skin tone",bride with veil: medium skin tone
👰,"bride, wedding, veil, medium-light skin tone",bride with veil: medium-light skin tone
👰,"bride, wedding, light skin tone, veil",bride with veil: light skin tone
🏃,"dark skin tone, racing, running, woman, marathon",woman running: dark skin tone
💂,"medium-light skin tone, woman, guard",woman guard: medium-light skin tone
👨,"doctor, nurse, healthcare, therapist, man",man health worker
🗿,"moyai, statue, face",moai
🗾,"japan, map",map of Japan
🗽,"statue, liberty",Statue of Liberty
🗼,"tower, tokyo",Tokyo tower
🗻,"fuji, mountain",mount fuji
🗺,"world, map",world map
👨,"family, boy, man","family: man, man, boy, boy"
🗳,"ballot, box",ballot box with ballot
👨,"dark skin tone, artist, palette, man",man artist: dark skin tone
👨,"dark skin tone, entertainer, singer, actor, star, rock, man",man singer: dark skin tone
👨,"artist, palette, light skin tone, man",man artist: light skin tone
🏊,"swim, medium-dark skin tone, man",man swimming: medium-dark skin tone
💇,"dark skin tone, man, haircut",man getting haircut: dark skin tone
👨,"light skin tone, entertainer, singer, actor, star, rock, man",man singer: light skin tone
🗯,"bubble, angry, balloon, mad",right anger bubble
👱,"dark skin tone, blond",blond-haired person: dark skin tone
👱,"medium-dark skin tone, blond",blond-haired person: medium-dark skin tone
👱,"blond, medium skin tone",blond-haired person: medium skin tone
👱,"medium-light skin tone, blond",blond-haired person: medium-light skin tone
👱,"light skin tone, blond",blond-haired person: light skin tone
🙆,"light skin tone, hand, ok, gesture, man",man gesturing OK: light skin tone
🗨,"speech, dialog",left speech bubble
